DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
07/17/2020 12:00:00 AM,420,48,14
07/18/2020 12:00:00 AM,218,29,11
07/19/2020 12:00:00 AM,176,32,7
07/20/2020 12:00:00 AM,394,32,11
07/21/2020 12:00:00 AM,337,22,12
07/22/2020 12:00:00 AM,325,31,8
07/23/2020 12:00:00 AM,303,31,9
07/24/2020 12:00:00 AM,300,34,6
07/25/2020 12:00:00 AM,152,30,11
07/26/2020 12:00:00 AM,139,18,8
07/27/2020 12:00:00 AM,323,42,5
07/28/2020 12:00:00 AM,311,35,12
07/29/2020 12:00:00 AM,288,23,5
07/30/2020 12:00:00 AM,269,31,4
07/31/2020 12:00:00 AM,260,25,4
08/01/2020 12:00:00 AM,186,21,8
08/02/2020 12:00:00 AM,136,28,2
08/03/2020 12:00:00 AM,353,30,3
08/04/2020 12:00:00 AM,190,31,5
08/05/2020 12:00:00 AM,312,27,7
08/06/2020 12:00:00 AM,308,32,4
08/07/2020 12:00:00 AM,264,18,5
08/08/2020 12:00:00 AM,163,17,5
08/09/2020 12:00:00 AM,133,24,3
08/10/2020 12:00:00 AM,297,26,6
08/11/2020 12:00:00 AM,252,17,6
08/12/2020 12:00:00 AM,301,25,2
08/13/2020 12:00:00 AM,255,31,2
08/14/2020 12:00:00 AM,232,33,1
08/15/2020 12:00:00 AM,100,22,4
08/16/2020 12:00:00 AM,99,19,5
08/17/2020 12:00:00 AM,171,23,0
08/18/2020 12:00:00 AM,90,4,0
08/19/2020 12:00:00 AM,13,0,0
